8844,96,0,0,20,0,0,0,0,215,53805,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,45,32,0,0,2,0,0,0,2298,27,1992_1997
727738,4623,0,0,1410,0,0,0,154,6417,443790,485,4,80,43,4,89,370,0,1,20243,0,15,0,0,0,1,0,0,0,1314,0,0,0,0,0,0,15563,0,0,0,0,3,2482,0,0,1,0,0,0,0,4,0,1395,0,0,0,1,0,0,258,0,0,6586,1,51,1,0,0,6,0,0,0,13364,28,1992_1997
2422031,6638,134,0,897,139,0,0,244,12558,3568960,219,39,11,6740,0,0,15,1594,19,74959,0,9,0,0,0,20,0,71,0,6468,0,0,0,0,0,0,5807,15775,43427,338,0,5,1172240,0,0,67,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,431,0,280,278,59,0,18,33,1,0,174085,29,1992_1997
166715,28,0,0,3,0,0,0,9,4905,42248,1609,40,7,1233,0,0,49,0,0,36182,0,4,0,0,0,0,0,0,0,2745,0,0,0,0,0,0,318,0,4,0,0,2,21052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22374,30,1992_1997
1221228,47153,0,0,955,0,0,0,367,28075,927521,721,148,87,0,8,0,711,0,47,35374,0,13,0,0,0,0,0,4,0,4448,6,0,0,0,0,0,8404,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,143,0,0,0,9,0,0,0,0,0,8,0,20,79,8,1,2,0,0,0,22999,31,1992_1997
733236,70,191,0,90,2,0,0,0,26591,1067692,140,230,3,9819,0,0,123,256,0,12681,0,4,0,0,0,24,0,14,0,52350,0,0,0,0,1,0,721,3548,428,98,0,0,62616,0,0,0,0,0,0,0,0,0,30,0,0,3,0,0,0,1,0,0,196,0,22,84,0,0,1,13,0,1,50269,32,1992_1997
741472,504,0,0,394,174,0,0,29,5643,3996855,12,274,68,277,0,0,831,134,2,140153,0,29,0,0,0,0,12,23,0,19283,0,0,0,0,36,0,3842,6028,483,28,0,39,220568,0,1,281,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,217,312,243,444,3,86,8,138,0,0,45065,33,1992_1997
6234248,7771,7069,0,6220,50,7,2,1570,30406,51046995,12414,3375,2312,7708,16063,4508,51731,2662,27708,2783962,0,161,68,249,20,827,19,60059,58,1272913,127,135,39,15,107,0,81606,6713,49499,186,0,825,4211476,433,54,328,5,114552,487,0,243,50,25916615,7,12223,10,329,7,0,431,3,908,6504085,461,0,0,0,0,176,0,0,0,13379931,34,1992_1997
3209,0,1,0,0,0,0,19,0,0,1716,0,0,0,0,0,0,0,0,0,5906,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,342,0,0,0,0,0,15108,0,0,0,0,0,0,0,0,0,705,22,0,4,0,0,0,0,0,3,16624,0,0,0,0,0,0,0,0,0,8238,35,1992_1997
481,0,0,0,2,0,0,0,0,0,2099,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,86,2,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1661,36,1992_1997
